0x10001000 initializeUIBanner
0x1000ff60 compressBufferData
0x10010190 buildHuffmanTree
0x100103d0 siftDownHuffmanHeap
0x100104b0 adjustHuffmanTreeDepths
0x100106e0 assignCanonicalHuffmanCodes
0x10010760 prepareHuffmanTrees
0x100107d0 processHuffmanSequence
0x100108c0 writeHuffmanTreeHeader
0x10010b30 writeHuffmanCodedData
0x100110b0 encodeHuffmanData
0x100114f0 determineCompressionStrategy
0x10011570 reverseBitsForHuffmanCode
0x10011590 flushBitBuffer
0x10011610 writeDataWithChecksum
0x100116b0 decompressData
0x10011750 memoryAllocatorWrapper
0x10011780 forwardToProcessData
0x100117a0 calculateCRC32
0x10011810 resetGlobalFlag
0x10011820 FUN_10011820
0x10011870 getKeyboardState
0x10011890 FUN_10011890
0x100119b0 decompressDataFromBuffer
0x10011a60 initializeResourceHandle
0x10011a90 loadResourceFile
0x10011ea0 releaseReference
0x10011ec0 processResourceFile
0x10012080 initializeResourceData
0x100120b0 initializeObjectHeader
0x100120f0 releaseResourceHandle
0x10012100 loadResourceFromPackage
0x100123a0 releaseResourceHandle
0x100123e0 decrementReferenceCount
0x10012400 readResourceData
0x100124d0 initializeKeyboardState
0x10012580 getResourceHeaderOffset
0x10012590 initializeResourceContext
0x10012640 insertKeyboardNode
0x10012880 removeNodeFromRedBlackTree
0x10012ca0 findNodeInRedBlackTree
0x10012d10 findOrInsertNodeInTree
0x10012e00 findNodeByKey
0x10012e70 destroyKeyboardNodeTree
0x10012ec0 insertKeyboardNodeAndBalance
0x10013130 rotateTreeRight
0x10013190 rotateTreeLeft
0x100131f0 allocateTreeNode
0x10013210 findPreviousKeyboardNode
0x10013270 insertNodeIntoRedBlackTree
0x100134e0 findNextNodeInRedBlackTree
0x10013530 findPreviousNodeInTree
0x10013590 assignReference
0x100135b0 createResourceReference
0x10013600 cleanupObject
0x10013620 releaseObjectResources
0x10013780 getFirstNodeFromObject
0x10013790 removeNodeFromTree
0x10013b90 findNextNodeInTree
0x10013be0 recursiveNodeCleanup
0x10013c20 getNextNodeInTraversal
0x10013c80 updateResourceReference
0x10013d20 getObjectData
0x10013d30 updateReferenceCount
0x10013dd0 copyKeyboardNodeData
0x10013df0 copyKeyValue
0x10013e20 releaseAndFreeObject
0x10013e40 initializeResourceReference
0x10013e60 cleanupObject
0x10013e80 releaseObjectResources
0x10013f70 initializeResourceContext
0x10013f90 cleanupObject
0x10013fb0 decrementObjectRefCount
0x10013ff0 validateLicenseKey
0x100141a0 displayLoginScreen
0x10014630 validateRegistrationInfo
0x100147f0 validateRegistrationInfo
0x10014a90 createLabeledTextInputField
0x10014b10 createLabeledTextInputField_wrapper
0x10014b40 createCheckboxGroup
0x10014c20 processKeyboardEvent
0x10014d10 saveButtonAreaForRestore
0x10014d70 cleanupActiveUIElements
0x10014db0 getActiveSelectionValue
0x10014de0 determineActiveUIElementType
0x10014e40 createUIElementBasedOnType
0x10014f90 handleRegistrationForm
0x10015e30 handleRegistrationForm
0x10016aa0 FUN_10016aa0
0x10017be0 populateServerSelectionCheckboxes
0x10017cc0 populateServerDetailsForm
0x10018100 createServerNameInputField
0x10018160 initializeServerSelectionUI
0x10018410 clearServerSelectionUI
0x100184b0 GetBrowserPath
0x10018580 launchBrowserWithURL
0x10018620 showBrowserPromptDialog
0x100186d0 formatServerInfoString
0x10018720 updateServerInfoDisplay
0x10018830 launchConfigurationTool
0x100188c0 FUN_100188c0
0x10019990 displayMainMenuScreen
0x10019ce0 displayStartScreen
0x10019f90 displayAccountNewsScreen
0x1001a1b0 processNewsItems
0x1001a330 displayBillingOptionsScreen
0x1001a5b0 handleBillingScreens
0x1001a640 showWebsiteWarningDialog
0x1001a940 showConfirmationIfNeeded
0x1001a9a0 openChatFile
0x1001aa10 toggleChatLogFile
0x1001aab0 writeChatMessageToFile
0x1001ab70 saveJournalToFile
0x1001acf0 saveTimeStampedChatLog
0x1001ad70 clearChatHistory
0x1001adb0 addToRecentCommandHistory
0x1001ae50 getActiveCommandHistoryEntry
0x1001ae70 getPreviousCommandFromHistory
0x1001aea0 updateChatListDisplay
0x1001aff0 sortElementsBubbleSort
0x1001b0b0 sortElementsSelectionSort
0x1001b160 sortElementsByMethod
0x1001b190 updateChatListDisplay
0x1001b6a0 processChatUIEvents
0x1001b880 addMessageToChatHistory
0x1001b910 initializeCommandHistory
0x1001b940 normalizeSpaces
0x1001b990 processMessageAndSendIfValid
0x1001b9e0 processReplyCommand
0x1001ba80 processVersionCommand
0x1001bb30 attemptChatLogin
0x1001bbf0 logoutAndResetStatus
0x1001bc40 handleChatInterface
0x1001c640 displayChatMessage
0x1001c6c0 loadGraphicsAdapterDescriptions
0x1001c730 initializeLanguageOptions
0x1001c7b0 populateLanguageList
0x1001c840 populateAdapterList
0x1001c8d0 displayAdapterSelectionScreen
0x1001cb30 getLanguageIdFromName
0x1001cb70 countAvailableLanguages
0x1001cba0 displayLanguageSelectionScreen
0x1001ce60 loadStoredAdapterSelection
0x1001cee0 getRaceNameById
0x1001d170 readBooleanFromIniFile
0x1001d210 writeConfigSetting
0x1001d230 readIntFromIniFile
0x1001d2c0 setRaceModelPreference
0x1001d330 saveRaceModelPreference
0x1001d3c0 loadSystemMemoryConfiguration
0x1001da90 checkLuclinWoodElfFemalePreference
0x1001db50 FUN_1001db50
0x1001e130 FUN_1001e130
0x1001e600 getSystemMemoryInMegabytes
0x1001e620 FUN_1001e620
0x1001fc30 isWindowsXP
0x1001fc80 FUN_1001fc80
0x100209b0 initializeGraphicsAndMemorySettings
0x10020a40 processServerMessage
0x10020b90 processZoneInformation
0x10020c10 populateZoneListWithScrollbar
0x10020d90 displayGuildSelectionScreen
0x10021150 initializeMessageForm
0x10021400 submitMessageForm
0x100214f0 cleanupMessageFormInputs
0x10021540 displayGuildPostingForm
0x10021820 displaySplashScreen
0x10021a50 displayLuclinOptionsScreen
0x10021df0 processNextCreditLine
0x10021eb0 displayCreditsScreen
0x10022240 initializeStartupScreen
0x10022340 cleanupGraphicsSurface
0x10022350 attemptLogin
0x100223e0 validateAndUpdatePIN
0x10022460 validateNextCode
0x100224a0 handleConfirmationDialogEvents
0x10022570 loadUsernameFromFile
0x10022620 restoreBackgroundArea
0x10022650 displayStatusMessage
0x100226b0 displayLoginScreen
0x10022d70 displayPINChangeScreen
0x10023190 displayPINConfirmationScreen
0x100234b0 clearEventQueue
0x100234c0 FUN_100234c0
0x100234f0 initializeFontSettings
0x10023500 initializeSystem
0x10023530 initializeGlobalData
0x10023540 FUN_10023540
0x10023560 cleanupGraphicsAndWindow
0x100235c0 cleanupResourcesAndGraphics
0x10024070 FUN_10024070
0x10024080 FUN_10024080
0x100252b0 normalizeServerName
0x100252e0 dll_main
0x10025300 new_dll_main
0x10025cc0 findCdDriveAndSetIntroPath
0x10025db0 playIntroVideo
0x10025fc0 processSmackVideoFrame
0x10026120 displayTextWithScrollbar
0x10026340 displayLicenseAgreement
0x100267a0 displayLicenseAgreements
0x100268b0 displayTextWithScrollbar
0x10026af0 checkAndDisplayNewsUpdates
0x10026c40 clearAndResetOverlayElement
0x10026cc0 displayServerStatusMessage
0x10026df0 updateOverlayMessage
0x10026e50 findServerInfoByName
0x10026eb0 updateServerLists
0x10027110 sortServerList
0x10027250 sortServerListByPriority
0x100273a0 sortServerListBasedOnSortMode
0x100273d0 saveLoadServerOptions
0x100274b0 getServerStatusFlags
0x100274c0 getServerStatusColor
0x10027540 getServerStatusMessage
0x100275b0 FUN_100275b0
0x100275c0 getPlayButtonText
0x100275d0 displayServerSelectionScreen
0x10028230 displayServerSelectionScreen
0x100289a0 processServerList
0x10028b50 processServerInformation
0x10028d50 displayVotingScreen
0x10028fa0 countActiveServers
0x10028fe0 createTwoUIElements
0x10029040 createThreeUIElements
0x100290c0 createFourUIElements
0x10029170 createExpansionUpgradeButtons
0x10029350 displayExpansionUpgradeScreen
0x10029510 displayKunarkNewsScreen
0x10029ac0 displayVeliousUpgradeScreen
0x1002a010 displayLuclinUpgradeScreen
0x1002a5c0 handleTrilogyUpgradeScreen
0x1002aaf0 FUN_1002aaf0
0x1002b390 displayLoginStatusScreen
0x1002b490 initializeTextFileReader
0x1002b5b0 cleanupObject
0x1002b5d0 closeTextFileReader
0x1002b620 findAndParseConfigValue
0x1002b670 getConfigValue
0x1002b6a0 updateConfigValue
0x1002b8c0 getConfigFileReader
0x1002b910 findConfigKeyValue
0x1002b960 parseConfigValue
0x1002b9b0 extractQuotedString
0x1002ba20 cleanupConfigBuffer
0x1002bb10 cleanupGlobalData
0x1002bb20 FUN_1002bb20
0x1002bb40 convertWideStringToAnsi
0x1002bb60 FUN_1002bb60
0x1002c470 loadBitmapResourceByResolution
0x1002c550 getLocalizedFilePath
0x1002c6a0 get_utf8_char_length
0x1002c6c0 validate_utf8_sequence
0x1002c720 validate_utf8_string
0x1002c750 convertUtf8ToWideString
0x1002c820 encodeUTF8Character
0x1002c890 convertWideStringToUtf8
0x1002c930 initializeCommsDomain
0x1002ca30 initializeCommsDomain
0x1002cb20 sendNetworkCommand
0x1002cb40 sendNetworkResponse
0x1002cb60 FUN_1002cb60
0x1002cb70 receiveMessageFromDomain
0x1002cb90 closeNetworkConnection
0x1002cbf0 connectAndVerifyServerVersion
0x1002cde0 cleanupNetworkConnection
0x1002ce20 validateConnectionAndPrepareWarning
0x1002cec0 sendLoginRequest
0x1002d050 sendNextCodeToServer
0x1002d0b0 updatePIN
0x1002d110 performLoginSequence
0x1002d210 attemptLoginWithCredentials
0x1002d250 FUN_1002d250
0x1002d260 handleChatChannelSelection
0x1002d300 sendPasswordToServer
0x1002d360 processNetworkMessage
0x1002d870 processNetworkMessages
0x1002dd70 formatAndDisplayChatMessage
0x1002df30 getLanguageIdFromIndex
0x1002df80 sendChatMessage
0x1002e050 initializeChatSystem
0x1002e140 cleanupChatSystem
0x1002e1d0 handleTracertCompletion
0x1002e330 processChatNetworkMessages
0x1002ed90 freeMemoryIfNotNull
0x1002eda0 loadTextFileAsWideString
0x1002ee80 sendLoginRequest
0x1002eef0 sendPasswordChangeToServer
0x1002ef40 sendServerConnectionRequest
0x1002ef90 sendServerInfoRequest
0x1002efe0 resetRememberPasswordSetting
0x1002eff0 trimLeadingSpaces
0x1002f020 trimLeadingSpaces
0x1002f050 processFileDownloadRequest
0x1002f200 executeTracertCommand
0x1002f530 sendServerTransferRequest
0x1002f580 checkCPUIDSupport
0x1002f5a0 identifyCPUVendor
0x1002f610 detectIntelCPUFeatures
0x1002f670 detectAMDCPUFeatures
0x1002f6d0 getCpuCycleCount
0x1002f6f0 measureCpuMhz
0x1002f750 initializeCPUInfo
0x1002f7e0 FUN_1002f7e0
0x1002f850 check_cpuid_support
0x1002f880 get_cpu_features
0x1002f8e0 get_cpu_features
0x1002f990 detect_cpu_type
0x1002f9d0 detect_cpu_family
0x1002fa20 detect_cpu_features_386
0x1002fa70 detect_cpu_features_486
0x1002fac0 get_cpu_info_via_cpuid
0x1002fba0 directDrawEnumerationCallback
0x1002fc00 countAndEnumerateDirectDrawDevices
0x1002fc40 getTotalPhysicalMemory
0x1002fc60 getMemorySizeCategory
0x1002fcc0 loadHardwareInfoFromIni
0x1002ff20 getCpuVendorString
0x1002fff0 collectAndSendSystemInfo
0x10030320 loadServerListFromConfigFile
0x10030560 FUN_10030560
0x10030580 findSectionContentStart
0x100305e0 initializeGlobalData
0x10030640 cleanupObject
0x10030660 releaseObjectResources
0x100306d0 selectNextServerAddress
0x10030740 selectNextServerAddress
0x100307b0 initializeResponseHeader
0x100307d0 appendByteToResponseBuffer
0x100307f0 appendIntToResponseBuffer
0x10030810 appendStringToResponseBuffer
0x10030880 appendDataToResponseBuffer
0x100308c0 initializeMessageParser
0x100308e0 readByteFromMessageBuffer
0x10030910 readMessageWord
0x10030940 readInt32FromMessageBuffer
0x10030970 extractNullTerminatedString
0x100309e0 extractMessageString
0x10030a80 copyMessageDataToBuffer
0x10030af0 parseIntegerFromBuffer
0x10030b80 extractNextLine
0x10030c30 cleanupResourceContainer
0x10030c50 initializeServerList
0x10030de0 processNetworkMessages
0x10031110 trimAndNormalizeSpaces
0x100311b0 prepareAndSendRegistrationData
0x10031280 sendAccountRegistrationData
0x100312e0 sendAccountDataToServer
0x10031340 sendNetworkResponseWithMessage
0x10031360 sendNetworkCommand7
0x10031370 sendNewsRequest
0x100313a0 sendNetworkCommandD
0x100313b0 sendNetworkCommand@
0x100313c0 sendServerListUpdateRequest
0x100313f0 sendServerCountUpdate
0x10031430 cleanupObject
0x10031450 initializeItemList
0x100314b0 addItemToList
0x100314f0 getItemByIndex
0x10031500 getResourceData
0x10031510 getNextItemFromContainer
0x10031520 releaseObjectResources
0x10031570 initializeResourceContainer
0x10031590 cleanupObject
0x100315b0 releaseObjectReferences
0x100315f0 loadRegistryFileToWideString
0x100316b0 loadResourcesFromRegistry
0x100317b0 getResourceById
0x100317c0 clearChatData
0x10031840 initializeChatBuffer
0x10031850 addChatEntry
0x10031900 updateChatEntry
0x10031970 updateChatEntry
0x100319e0 removeChatEntry
0x10031ae0 findChatItemIndex
0x10031b20 initializeFontSettingsData
0x10032ff0 loadLocalizedTextStrings
0x10033260 convertTextBufferToWideStrings
0x100332e0 getCpuFrequencyInfo
0x100333e0 calculateCpuFrequencyRatio
0x100334c0 measureCpuFrequency
0x100336f0 readRTCRegister
0x10033710 readTSCValue
0x10033740 measureCpuFrequencyWithRTC
0x100338a0 calculateTSCDifference
0x100338e0 displayErrorMessageAndExit
0x10033960 FUN_10033960
0x10033970 initializeFont
0x10033980 deleteGDIObject
0x100339a0 copyLogFontAndCreateFont
0x100339d0 compareFontAttributes
0x10033ac0 initCursorManager
0x10033b40 cleanupCursorManager
0x10033b70 createCursorManagerInstance
0x10033b90 freeCursorManagerObjects
0x10033bf0 createFontWithFontFace
0x10033ca0 findOrCreateFont
0x10033d40 getCursorDataFromBitmap
0x10033ec0 initializeDirectInput
0x100340d0 cleanupDirectInput
0x10034110 getEventFromQueue
0x10034310 getCharacterFromKeyCode
0x10034360 initializeLinkedList
0x10034370 addLinkedListNode
0x100343e0 addNodeToLinkedList
0x10034460 removeNodeFromList
0x100344b0 clearLinkedList
0x100344e0 decodeMessageToBuffer
0x10034510 decompressData
0x10034750 getVersionString
0x10034780 initializeGlobalDataBuffer
0x100347b0 cleanupObject
0x100347d0 setVtablePointer
0x100347e0 setMessageBufferWithTimestamp
0x10034820 getMessageStringPointer
0x10034830 initializeCommMemoryPool
0x10034930 cleanupMemoryPool
0x10034990 allocateMemoryBlock
0x10034a00 FUN_10034a00
0x10034b70 FUN_10034b70
0x10034bc0 FUN_10034bc0
0x10034cd0 FUN_10034cd0
0x10034d30 FUN_10034d30
0x10034db0 FUN_10034db0
0x10035030 FUN_10035030
0x10035280 FUN_10035280
0x100357c0 FUN_100357c0
0x10035bc0 FUN_10035bc0
0x10036440 FUN_10036440
0x10036540 FUN_10036540
0x10036a30 FUN_10036a30
0x10036b00 FUN_10036b00
0x10036bb0 FUN_10036bb0
0x10036d60 FUN_10036d60
0x10036ef0 FUN_10036ef0
0x10036f10 FUN_10036f10
0x100370a0 FUN_100370a0
0x100370c0 FUN_100370c0
0x100370e0 FUN_100370e0
0x100372f0 FUN_100372f0
0x100373b0 FUN_100373b0
0x10037550 FUN_10037550
0x10037890 FUN_10037890
0x10037bc0 FUN_10037bc0
0x10037e20 FUN_10037e20
0x10037ef0 FUN_10037ef0
0x10037fa0 FUN_10037fa0
0x100380f0 FUN_100380f0
0x10038130 FUN_10038130
0x10038580 FUN_10038580
0x10038690 FUN_10038690
0x10038910 FUN_10038910
0x100389e0 FUN_100389e0
0x10038a10 FUN_10038a10
0x10038e50 FUN_10038e50
0x100390a0 FUN_100390a0
0x10039260 FUN_10039260
0x100392d0 FUN_100392d0
0x100392f0 FUN_100392f0
0x10039310 FUN_10039310
0x100394a0 FUN_100394a0
0x10039740 FUN_10039740
0x10039950 FUN_10039950
0x10039bc0 FUN_10039bc0
0x10039c30 FUN_10039c30
0x10039de0 FUN_10039de0
0x10039e10 FUN_10039e10
0x10039e20 FUN_10039e20
0x10039e40 FUN_10039e40
0x10039ef0 FUN_10039ef0
0x10039f10 FUN_10039f10
0x10039f50 FUN_10039f50
0x10039f70 FUN_10039f70
0x10039f80 FUN_10039f80
0x10039fb0 FUN_10039fb0
0x1003a000 FUN_1003a000
0x1003a050 FUN_1003a050
0x1003a1a0 FUN_1003a1a0
0x1003a200 FUN_1003a200
0x1003a210 FUN_1003a210
0x1003a250 FUN_1003a250
0x1003a2e0 FUN_1003a2e0
0x1003a320 FUN_1003a320
0x1003a340 FUN_1003a340
0x1003a3f0 FUN_1003a3f0
0x1003a480 FUN_1003a480
0x1003a560 FUN_1003a560
0x1003a5d0 FUN_1003a5d0
0x1003a610 FUN_1003a610
0x1003a630 FUN_1003a630
0x1003a650 FUN_1003a650
0x1003a6b0 FUN_1003a6b0
0x1003a760 FUN_1003a760
0x1003a7c0 FUN_1003a7c0
0x1003a850 FUN_1003a850
0x1003a8e0 FUN_1003a8e0
0x1003a970 FUN_1003a970
0x1003a990 FUN_1003a990
0x1003a9c0 FUN_1003a9c0
0x1003a9f0 FUN_1003a9f0
0x1003aa10 FUN_1003aa10
0x1003ab40 FUN_1003ab40
0x1003ab50 FUN_1003ab50
0x1003ac20 FUN_1003ac20
0x1003aca0 FUN_1003aca0
0x1003acb0 FUN_1003acb0
0x1003ae80 FUN_1003ae80
0x1003af50 FUN_1003af50
0x1003b050 FUN_1003b050
0x1003b1d0 FUN_1003b1d0
0x1003b250 FUN_1003b250
0x1003b380 FUN_1003b380
0x1003b490 FUN_1003b490
0x1003b4c0 FUN_1003b4c0
0x1003b520 FUN_1003b520
0x1003b550 FUN_1003b550
0x1003b610 FUN_1003b610
0x1003b630 FUN_1003b630
0x1003b660 FUN_1003b660
0x1003b7a0 FUN_1003b7a0
0x1003b910 FUN_1003b910
0x1003b960 FUN_1003b960
0x1003b9b0 FUN_1003b9b0
0x1003bad0 timeGetTime
0x1003bae0 FUN_1003bae0
0x1003baf0 FUN_1003baf0
0x1003bbc0 FUN_1003bbc0
0x1003bc10 FUN_1003bc10
0x1003bd40 FUN_1003bd40
0x1003be30 FUN_1003be30
0x1003c130 FUN_1003c130
0x1003c220 FUN_1003c220
0x1003c4b0 FUN_1003c4b0
0x1003c4d0 FUN_1003c4d0
0x1003c4f0 FUN_1003c4f0
0x1003c520 FUN_1003c520
0x1003c580 FUN_1003c580
0x1003c5e0 FUN_1003c5e0
0x1003c610 FUN_1003c610
0x1003c660 FUN_1003c660
0x1003c6d0 FUN_1003c6d0
0x1003c740 FUN_1003c740
0x1003cab0 FUN_1003cab0
0x1003cae0 FUN_1003cae0
0x1003caf0 FUN_1003caf0
0x1003cb60 FUN_1003cb60
0x1003ccf0 FUN_1003ccf0
0x1003cd10 FUN_1003cd10
0x1003cd90 FUN_1003cd90
0x1003ce10 FUN_1003ce10
0x1003ce30 FUN_1003ce30
0x1003ce50 FUN_1003ce50
0x1003cf10 FUN_1003cf10
0x1003cf50 FUN_1003cf50
0x1003cf90 FUN_1003cf90
0x1003cfb0 FUN_1003cfb0
0x1003d010 FUN_1003d010
0x1003d0d0 FUN_1003d0d0
0x1003d170 FUN_1003d170
0x1003d190 FUN_1003d190
0x1003d1d0 FUN_1003d1d0
0x1003d2a0 FUN_1003d2a0
0x1003d330 FUN_1003d330
0x1003d3a0 FUN_1003d3a0
0x1003d3c0 FUN_1003d3c0
0x1003d420 FUN_1003d420
0x1003d530 FUN_1003d530
0x1003d8e0 FUN_1003d8e0
0x1003d900 FUN_1003d900
0x1003d940 FUN_1003d940
0x1003dbf0 FUN_1003dbf0
0x1003dc20 FUN_1003dc20
0x1003ddc0 FUN_1003ddc0
0x1003e370 sendto
0x1003e376 htonl
0x1003e37c setsockopt
0x1003e382 getsockopt
0x1003e388 ntohl
0x1003e38e htons
0x1003e394 inet_ntoa
0x1003e39a ntohs
0x1003e3a0 WSACleanup
0x1003e3a6 closesocket
0x1003e3ac recvfrom
0x1003e3b2 __WSAFDIsSet
0x1003e3b8 select
0x1003e3be getsockname
0x1003e3c4 WSAGetLastError
0x1003e3ca bind
0x1003e3d0 socket
0x1003e3d6 getprotobyname
0x1003e3dc WSAStartup
0x1003e3e2 gethostbyname
0x1003e3e8 inet_addr
0x1003e3ee ioctlsocket
0x1003e3f4 DirectDrawCreate
0x1003e3fa DirectDrawEnumerateA
0x1003f400 DirectInput8Create
0x1003f406 FUN_1003f406
0x1003f43b FUN_1003f43b
0x1003f478 FUN_1003f478
0x1003f495 _malloc
0x1003f4a7 __nh_malloc
0x1003f4d3 FUN_1003f4d3
0x1003f53a FUN_1003f53a
0x1003f599 FUN_1003f599
0x1003f5cf FUN_1003f5cf
0x1003f639 FUN_1003f639
0x1003f691 FUN_1003f691
0x1003f6b8 FUN_1003f6b8
0x1003f6f9 FUN_1003f6f9
0x1003f723 FUN_1003f723
0x1003f748 FUN_1003f748
0x1003f7b7 FUN_1003f7b7
0x1003f808 FUN_1003f808
0x1003f85a FUN_1003f85a
0x1003f88e FUN_1003f88e
0x1003f895 FUN_1003f895
0x1003f89c FUN_1003f89c
0x1003f8eb FUN_1003f8eb
0x1003f921 FUN_1003f921
0x1003f975 FUN_1003f975
0x1003f99a FUN_1003f99a
0x1003fa50 FUN_1003fa50
0x1003fac5 FUN_1003fac5
0x1003fb40 FUN_1003fb40
0x1003fb70 __global_unwind2
0x1003fbb2 __local_unwind2
0x1003fc1a __abnormal_termination
0x1003fc3d __NLG_Notify1
0x1003fc46 FUN_1003fc46
0x1003fc5e FUN_1003fc5e
0x1003fca4 FUN_1003fca4
0x1003fccd FUN_1003fccd
0x1003fcd8 FUN_1003fcd8
0x1003fce6 FUN_1003fce6
0x1003fcf4 operator_new
0x1003fd02 FUN_1003fd02
0x1003fd8d FUN_1003fd8d
0x1003fd98 FUN_1003fd98
0x1003fdc1 FUN_1003fdc1
